Shareholder - Name	Issuer - Name	Issuer - Country Code	Security - ISIN	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Stock - Number of Shares	Stock - Percent Ownership	Stock - Percent Voting Power	Data Source URL
ap2	ERICSSON (LM) B	SE	SE0000108656	2025-12-31	226 970	2 505 184	x1_000	0,07%	0,04%	https://ap2.se/en/asset-management/holdings/
ap2	ESSITY AB	SE	SE0009922164	2025-12-31	640 972	2 416 937	x1_000	0,35%	0,20%	https://ap2.se/en/asset-management/holdings/
ap2	EVOLUTION GAMING GROUP AB	SE	SE0012673267	2025-12-31	1 296 295	2 058 265	x1_000	1,01%	1,01%	https://ap2.se/en/asset-management/holdings/
ap2	EXSITEC HOLDING AB	SE	SE0014035762	2025-12-31	84 196	550 300	x1_000	4,10%	4,10%	https://ap2.se/en/asset-management/holdings/
ap2	FABEGE	SE	SE0011166974	2025-12-31	122 174	1 480 000	x1_000	0,45%	0,45%	https://ap2.se/en/asset-management/holdings/
ap2	FAGERHULT	SE	SE0010048884	2025-12-31	135 012	3 249 397	x1_000	1,83%	1,83%	https://ap2.se/en/asset-management/holdings/
ap2	FASTIGHETS AB BALDER B	SE	SE0017832488	2025-12-31	440 609	6 460 539	x1_000	0,55%	0,36%	https://ap2.se/en/asset-management/holdings/
ap2	FERROAMP ELEKTRONIK AB	SE	SE0012229920	2025-12-31	14 554	7 600 000	x1_000	7,04%	7,04%	https://ap2.se/en/asset-management/holdings/
ap2	GENOVIS AB	SE	SE0002485979	2025-12-31	58 019	2 730 304	x1_000	4,13%	4,13%	https://ap2.se/en/asset-management/holdings/
ap2	GETINGE B	SE	SE0000202624	2025-12-31	372 596	1 702 907	x1_000	0,63%	0,39%	https://ap2.se/en/asset-management/holdings/
ap2	GRANGES AB	SE	SE0006288015	2025-12-31	146 818	1 007 670	x1_000	0,95%	0,95%	https://ap2.se/en/asset-management/holdings/
ap2	GREEN LANDSCAPING GROUP AB	SE	SE0010985028	2025-12-31	152 879	3 345 274	x1_000	5,89%	5,89%	https://ap2.se/en/asset-management/holdings/
ap2	HEMNET GROUP AB	SE	SE0015671995	2025-12-31	34 050	196 595	x1_000	0,21%	0,21%	https://ap2.se/en/asset-management/holdings/
ap2	HEXAGON B	SE	SE0015961909	2025-12-31	1 734 432	15 839 559	x1_000	0,59%	0,43%	https://ap2.se/en/asset-management/holdings/
ap2	HEXPOL AB	SE	SE0007074281	2025-12-31	880 060	10 006 367	x1_000	2,91%	2,10%	https://ap2.se/en/asset-management/holdings/
ap2	HMS INDUSTRIAL NETWORKS	SE	SE0009997018	2025-12-31	146 862	350 507	x1_000	0,70%	0,70%	https://ap2.se/en/asset-management/holdings/
ap2	HUSQVARNA AB B	SE	SE0001662230	2025-12-31	35 237	757 616	x1_000	0,13%	0,05%	https://ap2.se/en/asset-management/holdings/
ap2	ICONOVO AB	SE	SE0010868943	2025-12-31	3 788	3 323 215	x1_000	6,26%	6,26%	https://ap2.se/en/asset-management/holdings/
ap2	IDUN INDUSTRIER AB	SE	SE0013512464	2025-12-31	133 480	376 000	x1_000	3,21%	0,91%	https://ap2.se/en/asset-management/holdings/
ap2	INDUSTRIVARDEN C	SE	SE0000107203	2025-12-31	19 416	46 785	x1_000	0,01%	0,00%	https://ap2.se/en/asset-management/holdings/
ap2	INDUTRADE AB	SE	SE0001515552	2025-12-31	393 426	1 636 549	x1_000	0,45%	0,45%	https://ap2.se/en/asset-management/holdings/
ap2	INVESTOR B	SE	SE0015811963	2025-12-31	1 623 188	4 912 797	x1_000	0,16%	0,03%	https://ap2.se/en/asset-management/holdings/
ap2	INVISIO COMMUNICATIONS	SE	SE0001200015	2025-12-31	212 323	807 312	x1_000	1,75%	1,75%	https://ap2.se/en/asset-management/holdings/
ap2	ITAB SHOP CONCEPT AB	SE	SE0015962097	2025-12-31	17 600	1 000 000	x1_000	0,39%	0,39%	https://ap2.se/en/asset-management/holdings/
ap2	I-TECH AB	SE	SE0011167725	2025-12-31	33 585	643 400	x1_000	5,36%	5,36%	https://ap2.se/en/asset-management/holdings/
ap2	KARNOV GROUP AB	SE	SE0012323715	2025-12-31	73 187	727 500	x1_000	0,67%	0,67%	https://ap2.se/en/asset-management/holdings/
ap2	K-FAST HOLDING AB	SE	SE0016101679	2025-12-31	61 137	4 731 981	x1_000	1,92%	1,41%	https://ap2.se/en/asset-management/holdings/
ap2	KINNEVIK INVESTMENT B	SE	SE0022060521	2025-12-31	83 680	1 000 000	x1_000	0,36%	0,17%	https://ap2.se/en/asset-management/holdings/
ap2	LAGERCRANTZ GROUP B	SE	SE0014990966	2025-12-31	416 371	1 956 632	x1_000	0,94%	0,66%	https://ap2.se/en/asset-management/holdings/
