Shareholder - Name	Issuer - Name	Security - Type	Security - Report Date	Security - Market Value	Data Source URL
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	2025-08-26	195,300	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN BANK FOR RECONSTRUCTION & DEVELOPMENT	Governments & Sovereigns	2025-08-26	306,731	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	445,295	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	447,112	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	451,927	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	151,396	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	209,621	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	309,055	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	330,365	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	494,114	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	540,989	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	186,131	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	437,927	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	504,932	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	636,399	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN INVESTMENT BANK	Governments & Sovereigns	2025-08-26	710,494	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EUROPEAN UNION	Governments & Sovereigns	2025-08-26	394,991	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	EXPORT DEVELOPMENT CANADA	Governments & Sovereigns	2025-08-26	495,261	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FRENCH REPUBLIC GOVERNMENT BOND	Governments & Sovereigns	2025-08-26	216,735	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FRENCH REPUBLIC GOVERNMENT BOND	Governments & Sovereigns	2025-08-26	263,888	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FRENCH REPUBLIC GOVERNMENT BOND	Governments & Sovereigns	2025-08-26	456,406	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FRENCH REPUBLIC GOVERNMENT BOND	Governments & Sovereigns	2025-08-26	578,457	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	FRENCH REPUBLIC GOVERNMENT BOND	Governments & Sovereigns	2025-08-26	686,460	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	INTER-AMERICAN DEVELOPMENT BANK	Governments & Sovereigns	2025-08-26	761,215	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JAPAN GOVERNMENT	Governments & Sovereigns	2025-08-26	197,738	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JAPAN GOVERNMENT	Governments & Sovereigns	2025-08-26	314,874	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JAPAN GOVERNMENT	Governments & Sovereigns	2025-08-26	590,336	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	JAPAN GOVERNMENT	Governments & Sovereigns	2025-08-26	616,805	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
