Shareholder - Name	Issuer - Name	Security - Type	Security - ISIN	Security - Report Date	Security - Market Value	Security - Market Value - Currency Code	Stock - Ticker	Stock - Number of Shares	Data Source URL
AP3	SANDVIK AB	EQUITY	SE0000667891	2025-08-26	1,959,644	SEK		9034783	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SANIONA AB	EQUITY	SE0005794617	2025-08-26	7,312	SEK		682111	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SDIPTECH AB - B	EQUITY	SE0003756758	2025-08-26	123,216	SEK		579023	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECTRA AB-B SHS	EQUITY	SE0022419784	2025-08-26	218,416	SEK		623332	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SECURITAS AB-B SHS	EQUITY	SE0000163594	2025-08-26	173,338	SEK		1225000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SINCH AB	EQUITY	SE0016101844	2025-08-26	76,649	SEK		2791287	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SIVERS SEMICONDUCTORS AB	EQUITY	SE0003917798	2025-08-26	3,886	SEK		1000000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANDINAVISKA ENSKILDA BAN-A	EQUITY	SE0000148884	2025-08-26	1,837,381	SEK		11128898	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKANSKA AB-B SHS	EQUITY	SE0000113250	2025-08-26	902,132	SEK		4096875	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SKF AB-B SHARES	EQUITY	SE0000108227	2025-08-26	420,230	SEK		1935650	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB-A SHARES	EQUITY	SE0000171100	2025-08-26	2,899	SEK		51000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SSAB AB - B SHARES	EQUITY	SE0000120669	2025-08-26	688,686	SEK		12324376	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STILLFRONT GROUP AB	EQUITY	SE0015346135	2025-08-26	54,520	SEK		8000000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	STORSKOGEN GROUP AB-B	EQUITY	SE0016797732	2025-08-26	97,051	SEK		8600000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA CELLULOSA AB SCA-B	EQUITY	SE0000112724	2025-08-26	172,200	SEK		1400000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SVENSKA HANDELSBANKEN-A SHS	EQUITY	SE0007100599	2025-08-26	1,355,248	SEK		10717660	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWECO AB-B SHS	EQUITY	SE0014960373	2025-08-26	124,312	SEK		758000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDBANK AB - A SHARES	EQUITY	SE0000242455	2025-08-26	1,616,516	SEK		6453158	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SWEDISH ORPHAN BIOVITRUM AB	EQUITY	SE0000872095	2025-08-26	539,391	SEK		1871586	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	SYSTEMAIR AB	EQUITY	SE0016609499	2025-08-26	522,540	SEK		5944712	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELE2 AB-B SHS	EQUITY	SE0005190238	2025-08-26	166,406	SEK		1203661	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-A SHS	EQUITY	SE0000108649	2025-08-26	355,650	SEK		4390736	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	ERICSSON LM-B SHS	EQUITY	SE0000108656	2025-08-26	1,546,390	SEK		19105383	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TELIA CO AB	EQUITY	SE0000667925	2025-08-26	244,933	SEK		7210269	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	THULE GROUP AB/THE	EQUITY	SE0006422390	2025-08-26	60,197	SEK		221314	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRATON SE	EQUITY	DE000TRAT0N7	2025-08-26	145,495	SEK		473000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRELLEBORG AB-B SHS	EQUITY	SE0000114837	2025-08-26	325,693	SEK		925000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TROAX GROUP AB	EQUITY	SE0012729366	2025-08-26	154,370	SEK		1075000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	TRUECALLER AB-B	EQUITY	SE0016787071	2025-08-26	86,586	SEK		1290396	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VICORE PHARMA HOLDING AB	EQUITY	SE0007577895	2025-08-26	29,695	SEK		3902100	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITEC SOFTWARE GROUP AB-B SH	EQUITY	SE0007871363	2025-08-26	318,472	SEK		667376	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VITROLIFE AB	EQUITY	SE0011205202	2025-08-26	73,500	SEK		525000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-A SHS	EQUITY	SE0000115420	2025-08-26	95,719	SEK		360118	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO AB-B SHS	EQUITY	SE0000115446	2025-08-26	3,375,093	SEK		12717006	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	VOLVO CAR AB-B	EQUITY	SE0021628898	2025-08-26	249,068	SEK		14339000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WALLENSTAM AB-B SHS	EQUITY	SE0017780133	2025-08-26	38,576	SEK		800000	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	WIHLBORGS FASTIGHETER AB	EQUITY	SE0018012635	2025-08-26	343,448	SEK		3357265	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XSPRAY PHARMA AB	EQUITY	SE0009973563	2025-08-26	70,213	SEK		1429998	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
AP3	XVIVO PERFUSION AB	EQUITY	SE0004840718	2025-08-26	46,566	SEK		164662	https://www.ap3.se/en/forvaltning/ap3s-portfolj/ap3s-vardepapper
