Shareholder - Name	Issuer - Name	Issuer - Country Name	Issuer - Sector	Security - Report Date	Security - Market Value - Amount	Security - Market Value - Multiplier	Security - Market Value - Currency Code	Data Source URL
PensionDanmark	Boston Scientific	United states	Health Care Equipment	2025-12-31	21.72	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Adyen	Netherlands	Transaction & Payment Processing Services	2025-12-31	21.71	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	CRH	United states	Construction Materials	2025-12-31	21.71	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Pfizer	United states	Pharmaceuticals	2025-12-31	21.57	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Martin Marietta Materials	United states	Construction Materials	2025-12-31	21.50	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Nordea Bank	Finland	Diversified Banks	2025-12-31	21.45	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Cie de Saint-Gobain	France	Building Products	2025-12-31	20.81	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Societe Generale	France	Diversified Banks	2025-12-31	20.74	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Shell	United Kingdom	Integrated Oil & Gas	2025-12-31	20.73	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Hitachi	Japan	Industrial Conglomerates	2025-12-31	20.55	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Analog Devices	United states	Semiconductors	2025-12-31	20.55	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Union Pacific	United states	Rail Transportation	2025-12-31	20.43	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Cadence Design Systems	United states	Application Software	2025-12-31	20.38	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Keyence	Japan	Electronic Equipment & Instruments 	2025-12-31	20.14	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Comcast	United states	Cable & Satellite	2025-12-31	20.13	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Parker-Hannifin	United states	Industrial Machinery & Supplies & Components	2025-12-31	20.08	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Hon Hai Precision Industry	Taiwan	Electronic Manufacturing Services	2025-12-31	19.95	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
PensionDanmark	Holcim	Switzerland	Construction Materials	2025-12-31	19.51	x1_000_000	EUR	https://www.pensiondanmark.com/en/investments/equity-list/
